,aspect,document,sentiment
637,LAPTOP#GENERAL,That's how frustrating it was.,negative
638,LAPTOP#USABILITY,"It is so simple to use, I use it more than my desktop.",positive
639,LAPTOP#GENERAL,"It is well worth the money it cost, Very good investment.",positive
640,LAPTOP#GENERAL,The new Macbook Pro 15 inch i7 is nothing short of amazing.,positive
641,LAPTOP#OPERATION_PERFORMANCE,The speed is incredible and I am more than satisfied.,positive
642,,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",
643,,"BOUGHT FROM WAL-MART, I BELIEVE THAT THIS LAPTOP WAS A REPAIRED ITEM.",
644,LAPTOP#QUALITY,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.,negative
645,COMPANY#GENERAL,NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.,negative
646,LAPTOP#GENERAL,WILL NOT EVERY BUY ANOTHER--------LOU,negative
647,LAPTOP#GENERAL,This is a great value for the money.,positive
648,,We purchased this as a back up computer after our more expensive HP needed to be repaired.,
649,LAPTOP#GENERAL,This is a great computer.,positive
650,LAPTOP#GENERAL,We haven't had any problems with it at all.,positive
651,LAPTOP#QUALITY,The body is a bit cheaply made so it will be interesting to see how long it holds up.,negative
652,LAPTOP#GENERAL,"Overall though, for the money spent it's a great deal.",positive
653,,I still see the benefits of a PC when I do not know how to do something on my mac.,
654,LAPTOP#GENERAL,"But let me tell you, the mac book pro is so professional.",positive
655,LAPTOP#GENERAL,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,positive
656,DISPLAY#DESIGN_FEATURES,"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",positive
657,,The keyboard is like no other laptop keyboard.,
658,KEYBOARD#USABILITY,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,positive
659,LAPTOP#GENERAL,"Oh, it is such a great piece of equipment.",positive
660,,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",
661,SOFTWARE#USABILITY,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",positive
662,,Having someone give you a quick tour of how to's is the best.,
663,,So you don't get frustrated the first few weeks.,
664,LAPTOP#DESIGN_FEATURES,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",positive
665,BATTERY#OPERATION_PERFORMANCE,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,positive
666,LAPTOP#USABILITY,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",neutral
667,MOUSE#OPERATION_PERFORMANCE,"I play a lot of casual games online, and the touchpad is very responsive.",positive
668,,"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",
669,LAPTOP#PORTABILITY,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",positive
670,DISPLAY#DESIGN_FEATURES,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,negative
671,SOFTWARE#DESIGN_FEATURES,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,neutral
672,,I have used both PCs and Macs and I have to say that I really really love my Mac Book Pro.,
673,,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",
674,LAPTOP#DESIGN_FEATURES,Everything from the design to the OS is simple and to the point.,positive
675,LAPTOP#GENERAL,LOVE IT LOVE IT LOVE IT!,positive
676,LAPTOP#MISCELLANEOUS,It really is perfect for work and play.,positive
677,LAPTOP#MISCELLANEOUS,I am able to play 720p and 1080p media files just fine with it.,positive
678,LAPTOP#OPERATION_PERFORMANCE,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,positive
679,MULTIMEDIA_DEVICES#QUALITY,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",negative
680,LAPTOP#GENERAL,"I upgraded it's RAM to 2GB, I am very happy with it.",positive
681,LAPTOP#DESIGN_FEATURES,lots of preloaded software.,positive
682,MEMORY#DESIGN_FEATURES,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",negative
683,COMPANY#GENERAL,"tosiba has a good reputation, my llast computer was an acer.",positive
684,LAPTOP#GENERAL,this is starting off good.,positive
685,LAPTOP#GENERAL,What a great little laptop.,positive
686,LAPTOP#DESIGN_FEATURES,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,neutral
687,LAPTOP#MISCELLANEOUS,I bought it to use in college and it is perfect.,positive
688,LAPTOP#OPERATION_PERFORMANCE,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,positive
689,LAPTOP#GENERAL,I made a perfect decision when I bought the Toshiba!,positive
690,LAPTOP#GENERAL,Excellent product for the money.,positive
691,LAPTOP#OPERATION_PERFORMANCE,"No problems, no lock ups, no disappointments.",positive
692,LAPTOP#DESIGN_FEATURES,"Not super fancy, but not super expensive either.",neutral
693,,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",
694,LAPTOP#MISCELLANEOUS,Highly recommend for daily use.,positive
695,,"We now own two of these, identical.",
696,,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,
697,LAPTOP#GENERAL,The Computer itself is a good product but the repair depot stinks.,positive
698,SUPPORT#QUALITY,I have had to send in my laptop three times to get it fixed.,negative
699,,Two of the times was in one month.,
700,,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,
701,SUPPORT#QUALITY,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,negative
702,SUPPORT#QUALITY,I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,negative
703,KEYBOARD#QUALITY,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,negative
704,POWER_SUPPLY#QUALITY,As well as having the plug in the computer come loose.,negative
705,,This has happened three times so far.,
706,,Two times with in one month.,
707,,"I am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little, while driving a car and carrying it into where ever you are using it.",
708,POWER_SUPPLY#QUALITY,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,negative
709,POWER_SUPPLY#QUALITY,It still seems to be a little lose now but so far seems to be hanging in there.,negative
710,LAPTOP#OPERATION_PERFORMANCE,The Mac Book Pro performs flawlessly.,positive
711,LAPTOP#GENERAL,"Never had a single problem, and don't have to worry about viruses.",positive
712,LAPTOP#MISCELLANEOUS,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",positive
713,LAPTOP#GENERAL,Worth the investment and truly a fine piece of equipment.,positive
714,LAPTOP#GENERAL,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",positive
715,LAPTOP#DESIGN_FEATURES,"It even has a great webcam, and Skype works very well.",positive
716,LAPTOP#GENERAL,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,positive
717,OS#GENERAL,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",neutral
718,OS#GENERAL,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",negative
719,LAPTOP#MISCELLANEOUS,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",positive
720,LAPTOP#PORTABILITY,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",positive
721,,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",
722,LAPTOP#GENERAL,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",positive
723,MEMORY#DESIGN_FEATURES,little short on RAM but you get what you pay for.,neutral
724,LAPTOP#DESIGN_FEATURES,"the hinge design forced you to place various connections all around the computer, left right and front.",negative
725,PORTS#DESIGN_FEATURES,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",negative
726,LAPTOP#DESIGN_FEATURES,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,negative
727,OS#GENERAL,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",positive
728,LAPTOP#GENERAL,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,positive
729,SHIPPING#QUALITY,The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,positive
730,,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,
731,SUPPORT#QUALITY,They were totally unconcerned that the computer was not correctly repaired in the first place.,negative
732,SHIPPING#QUALITY,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,negative
733,SHIPPING#QUALITY,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,negative
734,SHIPPING#QUALITY,Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,negative
735,,By Air sounds more like by truck to Me.,
736,SUPPORT#QUALITY,And Toshiba is totally unconcerned.,negative
737,SUPPORT#QUALITY,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,negative
738,SUPPORT#QUALITY,We don't Mind and You don't Matter.,negative
739,LAPTOP#GENERAL,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,negative
740,SUPPORT#QUALITY,When it come time for warranty service to Toshiba you don't matter.,negative
741,OS#GENERAL,Windows Vista makes this computer almost unusable for online service.,negative
742,LAPTOP#USABILITY,I've tried going back to XL but there still problems.,negative
743,SUPPORT#QUALITY,The technical service for dell is so 3rd world it might as well not even bother.,negative
744,SUPPORT#QUALITY,Just a bunch of idiots who's English as a 5th language is forced at best.,negative
745,COMPANY#GENERAL,I'm all for saving money but Dell needs to step it up.,negative
746,LAPTOP#PRICE,Good price.,positive
747,LAPTOP#MISCELLANEOUS,Basic computer.,neutral
748,LAPTOP#MISCELLANEOUS,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,neutral
749,LAPTOP#OPERATION_PERFORMANCE,It has worked fine.,positive
750,LAPTOP#MISCELLANEOUS,Handles all my basic media needs easily.,positive
751,DISPLAY#GENERAL,Can listen to my music and watch my videos with ease and with a great display.,positive
752,LAPTOP#OPERATION_PERFORMANCE,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,positive
753,LAPTOP#MISCELLANEOUS,It's a great prodcut to handle basic computing needs.,positive
754,,I've had this laptop for about a month now.,
755,LAPTOP#GENERAL,It has served my needs quite nicely for the most part.,positive
756,MEMORY#DESIGN_FEATURES,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",positive
757,,"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",
758,PORTS#QUALITY,My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,negative
759,HARDWARE#QUALITY,"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",negative
760,LAPTOP#PRICE,"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.",positive
761,LAPTOP#GENERAL,Let me start with the good:So awesome.,positive
762,OS#GENERAL,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",positive
763,,This is my second MacBook.,
764,,"The first one I had was a 2006 model, not the Pro.",
765,,I fell in love with it.,
766,LAPTOP#GENERAL,This one has had the same effect.,positive
767,,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",
768,OS#GENERAL,"The improvements to the OS have been relatively gradual, but substantive.",positive
769,,The feel of this machine compared to the old MacBook is far superior.,
770,LAPTOP#DESIGN_FEATURES,"The Unibody construction is solid, sleek and beautiful.",positive
771,LAPTOP#DESIGN_FEATURES,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",positive
772,DISPLAY#QUALITY,"For the not so good, I got the stock screen - which is VERY glossy.",negative
773,DISPLAY#DESIGN_FEATURES,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,positive
774,DISPLAY#QUALITY,The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral
775,,My real problem with it?,
776,BATTERY#OPERATION_PERFORMANCE,The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,negative
777,BATTERY#OPERATION_PERFORMANCE,I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.,negative
778,BATTERY#OPERATION_PERFORMANCE,The first full charge of this battery got me only about 2 full hours.,negative
779,BATTERY#OPERATION_PERFORMANCE,Enabling the battery timer is useless.,negative
780,BATTERY#OPERATION_PERFORMANCE,"The ""Time remaining"" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes.",negative
781,,It's a joke.,
782,BATTERY#OPERATION_PERFORMANCE,It's so bad that I'm thinking I only got half a battery or something.,negative
783,BATTERY#OPERATION_PERFORMANCE,I know what 7 hrs of battery looks like.,negative
784,,This ain't it.,
785,LAPTOP#QUALITY,My only other complaint is that it gets really hot.:-),negative
786,BATTERY#OPERATION_PERFORMANCE,"If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",negative
787,LAPTOP#GENERAL,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",positive
788,LAPTOP#OPERATION_PERFORMANCE,Other than that its a great performing machine and well meets all my needs and more.,positive
789,LAPTOP#GENERAL,Great product by Apple with the new great looking design.,positive
790,,"This computer was bought because I wanted ""top of the line"", fast, reliable, HA.",
791,HARD_DISC#QUALITY,"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",negative
792,LAPTOP#OPERATION_PERFORMANCE,"It was slow, locked up, and also had hardware replaced after only 2 months!",negative
793,LAPTOP#GENERAL,"So, buyers beware!",negative
794,,My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,
795,,So we exchanged it for the same on and after 2 hours it didn't work.,
796,,I went with him and we picked this one.,
797,LAPTOP#QUALITY,"It is made better, thicker, and all out tough!",positive
798,LAPTOP#QUALITY,I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!,positive
799,DISPLAY#USABILITY,"I love the easy to see screen, and It works well for work, persoal or just play.",positive
800,LAPTOP#GENERAL,I tell everyone I see out looking to get this or another Toshiba.,positive
801,,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",
802,COMPANY#GENERAL,My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,positive
803,LAPTOP#GENERAL,"I just love this lap top, I just wish it were all silver or they had all black.",positive
804,LAPTOP#DESIGN_FEATURES,That is my only complaint!,negative
805,LAPTOP#GENERAL,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,positive
806,LAPTOP#GENERAL,WOULD PAY MORE FOR IT IF I HAD TOO!,positive
807,,I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.,
808,,It still serves me well both in business and home needs.,
809,,"It is, however, very heavy.",
810,LAPTOP#GENERAL,I recently purchased the mini and absolutely love it!,positive
811,LAPTOP#MISCELLANEOUS,It meets all my needs for work and pleasure while traveling.,positive
812,LAPTOP#GENERAL,I am totally satisfied with my little toshie!,positive
813,LAPTOP#GENERAL,From the moment I opened the box to the present it has been a great joy.,positive
814,LAPTOP#QUALITY,"It is always reliable, never bugged and responds well.",positive
815,OS#GENERAL,I love the operating system and the preloaded software.,positive
816,,I am a freelance graphic artist.,
817,,I need graphic power to run my Adobe Creative apps efficiently.,
818,LAPTOP#OPERATION_PERFORMANCE,This machine delivers.,positive
819,,It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.,
820,LAPTOP#DESIGN_FEATURES,It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.,positive
821,,I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,
822,LAPTOP#DESIGN_FEATURES,It is a bit heavy.,negative
823,LAPTOP#PORTABILITY,It would be a load on long trips where a lot of walking is required.,negative
824,,"If that is the case for you, I would suggest a pull-behind solution when looking at cases.",
825,LAPTOP#DESIGN_FEATURES,Had some trouble finding a case that it would fit in.,negative
826,LAPTOP#DESIGN_FEATURES,"This is an over-sized, 18-inch laptop.",negative
827,,Most of the large bags are for a 17 inch.,
828,,You may need to special order a bag.,
829,LAPTOP#DESIGN_FEATURES,It wouldn't fit in most 17-inch bags.,negative
830,KEYBOARD#DESIGN_FEATURES,I was disappointed when I realized that the keyboard doesn't light up on this model.,negative
831,LAPTOP#DESIGN_FEATURES,It also does not have bluetooth.,negative
832,,Pay attention to the specs if you want these options.,
833,LAPTOP#DESIGN_FEATURES,You'll need to upgrade and pay a little more for them.,negative
834,,I should have been more observant.,
835,LAPTOP#DESIGN_FEATURES,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",negative
836,,They are not.,
837,LAPTOP#GENERAL,"Overall, still a very nice machine.",positive
838,LAPTOP#OPERATION_PERFORMANCE,Boots up fast and runs great!,positive
839,LAPTOP#GENERAL,I'm pleased.,positive
840,LAPTOP#GENERAL,The acer one compuer is a great computer.,positive
841,LAPTOP#GENERAL,I didn't want to buy a generic brand computer but it is really nice.,positive
842,LAPTOP#OPERATION_PERFORMANCE,"Its fast, has High definition quality in the videos.",positive
843,DISPLAY#QUALITY,The pictures are clear as can be.,positive
844,LAPTOP#GENERAL,"If I had to buy another computer, I would most definetly buy an acer one computer.",positive
845,LAPTOP#GENERAL,"Heck, if I had enough ' money, I would but it as a gift for someone.",positive
846,LAPTOP#DESIGN_FEATURES,Im glad that it has such great features in it.,positive
847,LAPTOP#DESIGN_FEATURES,It also came with a built it web cam which is great because I can see an communicate with my family members back home.,positive
848,MULTIMEDIA_DEVICES#QUALITY,Clear picture on it and everything.,positive
849,LAPTOP#OPERATION_PERFORMANCE,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",negative
850,DISPLAY#DESIGN_FEATURES,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",positive
851,LAPTOP#MISCELLANEOUS,Its good for playing my apps on Facebook or watching movies.,positive
852,LAPTOP#GENERAL,Im very happy with this computer!,positive
853,,"Well, I have to say since I bought my Mac, I won't ever go back to any Windows.",
854,LAPTOP#QUALITY,It's solid.,positive
855,SOFTWARE#OPERATION_PERFORMANCE,Love the stability of the Mac software and operating system.,positive
856,SOFTWARE#USABILITY,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,negative
857,SOFTWARE#USABILITY,It seems to be incompatible with everything else.,negative
858,LAPTOP#GENERAL,But the machine is awesome and iLife is great and I love Snow Leopard X.,positive
859,LAPTOP#GENERAL,i love to use it it is esay and light.,positive
860,LAPTOP#QUALITY,this laptop is durable and it is easy to travel with.,positive
861,LAPTOP#PORTABILITY,i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,positive
862,LAPTOP#MISCELLANEOUS,this laptop is great for work and doing my pictures.,positive
863,LAPTOP#OPERATION_PERFORMANCE,"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",positive
864,SOFTWARE#USABILITY,the programs are esay to use and are quick to process this computer works like a charm.,positive
865,LAPTOP#GENERAL,i can use it for all of my needs.,positive
866,LAPTOP#GENERAL,i give this laptop a five star review i love it and it has done chams for me.,positive
867,LAPTOP#GENERAL,if this computer every breaks down on me i will most definatly get the same one again.,positive
868,LAPTOP#QUALITY,i think that anyone looking for a good durrable laptop then this is the way to go.,positive
869,LAPTOP#GENERAL,From the second you open the box you will fall in love with this computer!,positive
870,OS#OPERATION_PERFORMANCE,The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,positive
871,MOUSE#DESIGN_FEATURES,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",positive
872,,"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",
873,OS#USABILITY,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",positive
874,COMPANY#GENERAL,Apple continues to shine and provide a much more enjoyable computer experience!,positive
875,LAPTOP#GENERAL,"From the start, when you open the box you see a completely different class of machine.",positive
876,LAPTOP#USABILITY,The ease in which you set everything up is such that a child could do it.,positive
877,DISPLAY#QUALITY,"The screen is bright and clear, the operating system is solid and friendly to a novice.",positive
878,LAPTOP#OPERATION_PERFORMANCE,"Fast, fast and fast, the web pages just fly by.",positive
879,LAPTOP#USABILITY,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",positive
880,LAPTOP#USABILITY,That includes transferring my music and movies.,positive
881,LAPTOP#OPERATION_PERFORMANCE,Good bye BLUE SCREEN and Critical errors!!!!,positive
882,SOFTWARE#GENERAL,Skype is just so dang cool with this machine too.,positive
883,,I can hardly wait to see whats around the next corner.,
884,,"My Iphone synced right up just like a person would expect, unlike the PCs in our lives.",
885,,If only Bill Gates would read some of what is said here MS would do a better job.,
886,LAPTOP#USABILITY,"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",positive
887,LAPTOP#DESIGN_FEATURES,It is light and the battery last a very long time.,positive
888,LAPTOP#OPERATION_PERFORMANCE,Very fast boot up and shut down.,positive
889,,"been a PC user for many, many years.",
890,LAPTOP#GENERAL,"Let me tell you, this machine is great.",positive
891,LAPTOP#MISCELLANEOUS,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",positive
892,OS#USABILITY,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",positive
893,LAPTOP#OPERATION_PERFORMANCE,The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.,positive
894,LAPTOP#OPERATION_PERFORMANCE,The only time I have restarted is during system updates.,positive
895,LAPTOP#GENERAL,great machine if you want to drop the cash for one.,positive
896,LAPTOP#GENERAL,"Ok, this is probably the best laptop series ever devised by Apple.",positive
897,LAPTOP#QUALITY,The case is carved out of a single block of aluminum.,positive
898,,"Although I opted for the lowest end MacBook Pro, this thing holds its own.",
899,CPU#OPERATION_PERFORMANCE,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",positive
900,,That is how it is able to function better than any other PC.,
901,LAPTOP#GENERAL,I have recommended this laptop to everyone I know who is buying one.,positive
902,LAPTOP#GENERAL,"I like it so much, I bought another just for my wife.",positive
903,LAPTOP#QUALITY,Took it back as it was defective.,negative
904,LAPTOP#OPERATION_PERFORMANCE,Page just disapeared after you got yahoo or downloaded something.,negative
905,LAPTOP#OPERATION_PERFORMANCE,Couldn't keep a page up you were working on!,negative
906,LAPTOP#PRICE,was a great deal i will give that.,positive
907,LAPTOP#OPERATION_PERFORMANCE,the laptop preformed pretty well.,neutral
908,LAPTOP#OPERATION_PERFORMANCE,it cant fuction well with lots of webpages open at once.,negative
909,LAPTOP#OPERATION_PERFORMANCE,it has times were it freezes for 10 seconds and then starts again.,negative
910,MOUSE#OPERATION_PERFORMANCE,"the mouse on the pad, the left button always sticks.",negative
911,MOUSE#OPERATION_PERFORMANCE,the mouse is way way way to sensitve.,negative
912,MOUSE#OPERATION_PERFORMANCE,i tried turning it done but it did nothing.,negative
913,MOUSE#OPERATION_PERFORMANCE,the mouse jumps around all the time and it clicks stuff i dont want it too.,negative
914,MOUSE#GENERAL,its not bad just VERY VERY annoying.,negative
915,LAPTOP#QUALITY,think i would spend little extra to get a better made laptop.,negative
916,LAPTOP#GENERAL,I am very happy with this laptop.,positive
917,LAPTOP#PRICE,For the price and what I get out of it has exceeded my expectations.,neutral
918,LAPTOP#OPERATION_PERFORMANCE,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,positive
919,,"First things first, Macbook pro has many applications to make life easier, unlike the windows computers.",
920,LAPTOP#QUALITY,Amazing Quality!,positive
921,LAPTOP#DESIGN_FEATURES,Plus stylish.,positive
922,DISPLAY#DESIGN_FEATURES,"The big screen allows you to enjoy watching movies , pictures and etc!",positive
923,LAPTOP#MISCELLANEOUS,"The flaws are, this computer is not for computer gamers because of the OS X.",negative
924,LAPTOP#MISCELLANEOUS,Mac is not made for gaming.,negative
925,SOFTWARE#MISCELLANEOUS,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,positive
926,LAPTOP#QUALITY,"Second, it gets scratches easily and when it gets old some thing may operated",negative
927,SOFTWARE#GENERAL,Was not happy with one of the programs on it.,negative
928,SOFTWARE#MISCELLANEOUS,"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",negative
929,WARRANTY#GENERAL,"Also, the extended warranty was a problem.",negative
930,WARRANTY#GENERAL,The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,negative
931,LAPTOP#USABILITY,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",positive
932,,I took 3-4 years researching brands and prices of laptops.,
933,LAPTOP#PRICE,I finally decided on this laptop because it was the right price for what I need it.,positive
934,LAPTOP#DESIGN_FEATURES,"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",negative
935,LAPTOP#DESIGN_FEATURES,So I'm disappointed in that because communicating with my relatives out of the area is a priority.,negative
936,,"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",
937,,"I don't have that additional money right now, and therefore wouldn't have purchased it at this time.",
938,,Those things are very important - vital even!,
939,,So think about factoring those things in when you purchase.,
940,COMPANY#GENERAL,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,neutral
941,,I will have to purchase Spy ware or Nortell for privacy protection.,
942,,Thank you.,
943,LAPTOP#GENERAL,I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it.,negative
944,SOFTWARE#OPERATION_PERFORMANCE,The Internet Explorer was very slow from the very beginning.,negative
945,SOFTWARE#OPERATION_PERFORMANCE,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.",negative
946,SOFTWARE#OPERATION_PERFORMANCE,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,negative
947,SOFTWARE#OPERATION_PERFORMANCE,"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.",negative
948,LAPTOP#OPERATION_PERFORMANCE,"This Notebook restarts every time there is a new update, so if you don't save your files and information, everything will be lost.",negative
949,BATTERY#OPERATION_PERFORMANCE,Another issue I have with it is the battery.,negative
950,BATTERY#OPERATION_PERFORMANCE,Maybe three or four months ago it started blinking all of the sudden.,negative
951,BATTERY#OPERATION_PERFORMANCE,"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",negative
952,LAPTOP#QUALITY,"It is not even a year old yet, so I would definitely not recommend it to anyone.",negative
