,aspect,document,sentiment
514,,"Everything was wonderful; food, drinks, staff, mileau.",
515,,I would highly recommend this place!,
516,,I have been to Casimir over 5 times and I have always had a great time there.,
517,,The food is great and reasonably priced.,
518,,"I have tried to make reservations, but both times, the hostess didn't have my name.",
519,,"If the weather is nice, try to snag an outside table.",
520,,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",
521,,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,
522,,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",
523,,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",
524,,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,
525,,Nice Family owned traditional restaurant.,
526,,Fresh ingredients and everything is made to order.,
527,,I was pleasantly surprised to find this gem in Hoboken.,
528,,Friendly staff that actually lets you enjoy your meal and the company you're with.,
529,,My friends and I were on vacation in NY and was referred to Chance by a friend.,
530,,"I found the food to be outstanding, particulary the salmon dish I had.",
531,,"I also ordered the Change Mojito, which was out of this world.",
532,,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",
533,,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",
534,,"Overall, excellent restaurant!",
535,,I work around the corner and tried it with a colleague for the first time.,
536,,The buffet had a nice selection.,
537,,The food was average or above including some surprising tasty dishes.,
538,,Service was also very good.,
539,,I would go back.,
540,,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",
541,,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",
542,,And the Tom Kha soup was pathetic.,
543,,If you want good authentic Thai this place is not the place to go.,
544,,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",
545,,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",
546,,"Conveniently located too, being right on Bedford ave.",
547,,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",
548,,I will definetly be going back.,
549,,love the food.,
550,,it's the only place you can get yummy authentic japanese comfort food.,
551,,it helps if you know what to order.,
552,,and you can't beat the prices.,
553,,highly recommended.,
554,,I've lived in NY for 5 years and this place has it all.,
555,,"Great food, good size menu, great service and an unpretensious setting.",
556,,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",
557,,I'm glad I was introduced to this place and this is a rare gem in NY.,
558,,i actually feel like i should keep it a secret.,
559,,This is a wonderful place on all stand points especially value ofr money.,
560,,An excellent service,
561,,Went to Cafe Spice with 4 of my friends on a saturday night.,
562,,We were greeted promptly by the waiter who was very nice and cordial.,
563,,She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.,
564,,We were fast to order the appetizer platter since we were very hungry.,
565,,The food looked very appetizing and delicious since it came on a variety of fancy plates.,
566,,We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,
567,,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,
568,,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",
569,,"Service here was great, food was fantastic.",
570,,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",
571,,Will absolutely visit again.,
572,,Maybe tomorrow ;-),
573,,You cannot go wrong with this place.,
574,,"The food is outstanding and the service is quick, friendly and very professional.",
575,,"Always a nice crowd, but never loud.",
576,,Go here.,
577,,Good for dates or with friends.,
578,,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,
579,,"However, it is jus too good to not praise it.",
580,,"By far, the best pizza in Manhattan.",
581,,"The crust is thin, the ingredients are fresh and the staff is friendly.",
582,,"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",
583,,less wait time for me!,
584,,We arrived on time for our reservation and seated promptly.,
585,,The menu has so many fish items and oysters.,
586,,We all ordered different entrees so we could share.,
587,,"The fish was really,really fresh.",
588,,I lived in Maine for ten years and grew up on fish.,
589,,We all agreed that mare is one of the best seafood restaurants in New York.,
590,,I stumbled upon this great pizzeria as I explored my new neighborhood.,
591,,All of the pizzas are terrific and the price is even better!,
592,,I highly recommend the Sophia pizza.,
593,,It's to die for!,
594,,The food was mediocre at best but it was the horrible service that made me vow never to go back.,
595,,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",
596,,There are other people waiting!,
597,,We weren't even at our table for more than an hour total.,
598,,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",
599,,Our friends have not arrived yet.,
600,,So rushing us out was absolutely unnecessary!,
601,,"For the people who want great food plus great service, Roxy is a place to AVOID!",
602,,Mizu is the Japenese find in Grammercy.,
603,,"While their kitchen food is delicious, their Sushi is out of this world.",
604,,Mizu is home to creative and unique rolls not to found anywhere else.,
605,,"Not only is the cuisine the best around, the service has always been attentive and charming.",
606,,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,
607,,"The view is spectacular, and the food is great.",
608,,Wonderful strawberry daiquiries as well!,
609,,Definitely worth the trip to Battery Park City!,
610,,One of my favorite places in Manhattan.,
611,,Authentic Taiwanese food that's cheap... what more could you ask for?,
612,,(Besides that there should be more restaurants like it around the city).,
613,,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,
614,,delicious simple food in nice outdoor atmosphere.,
615,,"Kind, attentive wait staff.",
616,,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,
617,,My friend devoured her chicken and mashed potatos.,
618,,Delicious crab cakes too.,
619,,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",
620,,Great neighborhood joint.,
621,,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,
622,,"Their calzones are horrific, bad, vomit-inducing, YUCK.",
623,,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,
624,,The counter service is bad.,
625,,They charge different prices all the time.,
626,,"They're rude at times, and not very friendly.",
627,,NO PIZZA 33 for me!,
628,,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",
629,,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",
630,,"The sandwiches are dry, tasteless and way overpriced.",
631,,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",
632,,"Seriously, this place kicks ass.",
633,,"The atmosphere is unheralded, the service impecible, and the food magnificant.",
634,,"Best Italian food I ever had (and being Italian, that means alot).",
635,,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",
636,,"This is such a lovely, peaceful place to eat outside.",
637,,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,
638,,"It is set far from the small street it's on, and there is no traffic noise.",
639,,"The food is good, especially their more basic dishes, and the drinks are delicious.",
640,,"This is a great place to take out-of-towners, and perfect for watching the sunset.",
641,,Great sushi experience.,
642,,Nice value.,
643,,Unique apppetizers.,
644,,Try sushimi cucumber roll.,
645,,Don't be fooled by crowds of people.,
646,,The service is awful.,
647,,This place is not worth the prices.,
648,,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",
649,,Love Pizza 33..,
650,,I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.,
651,,I live in the neightborhood and am a regular.,
652,,It hits the spot every time,
653,,"Bagels are ok, but be sure not to make any special requests!",
654,,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,
655,,Be sure not to get anything other than bagels!..,
656,,the turkey burgers are scary!,
657,,The worst excuse for Japanese food I've ever encountered.,
658,,The soup for the udon was soy sauce and water.,
659,,The sushi was awful!,
660,,The rice was poor quality and was cooked so badly it was hard.,
661,,"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",
662,,"The fish was adequate, but inexpertly sliced.",
663,,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,
664,,"Good, fast service.",
665,,I would highly recommend.,
666,,Food is great and inexpensive.,
667,,The location is perfect.,
668,,Give it a try and enjoy.,
669,,Awsome Pizza especially the Margheritta slice.,
670,,Always busy but fast moving.,
671,,Great atmoshere and worth every bit.,
672,,Open late (well as late as I ever got there and I'm a night person),
673,,Winnie and her staff are the best crew you can find serving you.,
674,,The food is reliable and the price is moderate.,
675,,What more can you ask for?,
676,,Everything about this restaurant was special.,
677,,"The service was attentive, yet discreet.",
678,,The flavors robust and subtle.,
679,,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,
680,,I'm saving up for my next visit.,
681,,I went there in late afternoon for some bite size food and refleshment with my date.,
682,,The place was quiet and delightful.,
683,,Service was good and food is wonderful.,
684,,I did not try the caviar but I tried their salmon and crab salad (they are all good),
685,,It is definitely a good spot for snacks and chat.,
686,,"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.",
687,,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",
688,,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",
689,,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",
690,,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",
691,,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",
692,,You can't go wrong with this place.,
693,,I cannot imagine a friendlier staff working in a restaurant.,
694,,I cannot imagine better Indian food in all of the city.,
695,,I cannot imagine you not rushing out to eat there.,
696,,This restaurant used to be our regular Thursday night dinner location.,
697,,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",
698,,I wish they would change back to what it was before.,
699,,The food now is inconsistent.,
700,,This is the kind of place you'd like to take all your friends to and still keep a secret.,
701,,The setting is casual and romantic.,
702,,Prices are very good.,
703,,The food is excellent!,
704,,"if you're daring, try the balsamic vinegar over icecream, it's wonderful!",
705,,this little place has a cute interior decor and affordable city prices.,
706,,"the pad se ew chicken was delicious, however the pad thai was far too oily.",
707,,i would just ask for no oil next time.,
708,,"Have eaten at Ginger House several times, and it's always good.",
709,,The fried dumplings are GREAT!,
710,,Finally a reliable Chinese restaurant!,
711,,This place would be so much better served by being run by a group that actually understands customer service.,
712,,"The only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.",
713,,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!",
714,,"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.",
715,,"Terrible, terrible management - deserves to be shut-down.",
716,,Never fails to please.,
717,,"delicious bagels, especially when right out of the oven.",
718,,Spreads and toppings are great - though a bit pricey.,
719,,Service is fast and friendly.,
720,,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",
721,,But that is highly forgivable.,
722,,"Been there, done that, and New York, it's not that big a deal.",
723,,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",
724,,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",
725,,"Rao is a good restaurant, but it's nothing special.",
726,,I've eaten at many different Indian restaurants.,
727,,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",
728,,You must try the shrimp appetizers.,
729,,Even my Indian friend couldn't believe how good and tasty everything was.,
730,,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,
731,,"Great food, great prices, great service.",
732,,"If you are looking for a good quality, cheap eats - this is the place.",
733,,it's a perfect place to have a amanzing indian food.,
734,,I really loved the different and inovated touch that's the cheff gives to the food.,
735,,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",
736,,The food was absolutely amazing!!,
737,,The baked clams octopus we shared as appetizers were the best we've ever had!!,
738,,"The lamb was tender so full of flavor, the dessert was divine!!",
739,,The waiter was attentive.,
740,,The place itself is beautiful the bar scene seems to be happening.,
741,,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",
742,,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",
743,,Dessert is a joke...dont bother,
744,,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",
745,,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",
746,,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",
747,,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,
748,,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",
749,,Fantastic place.,
750,,Cute and decorative.,
751,,A pleasant surprise.,
752,,Go there to relax and feel like your somewhere else.,
753,,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",
754,,(Always ask the bartender for the SEASONAL beer!!!,
755,,Guaranteed to be a tasty experience!),
756,,Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,
757,,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,
758,,All the people that I bring there go back on their own and bring THEIR friends!,
759,,Go there once and oh yes...you will go back...you will...,
760,,What a great place!,
761,,Not the typical NYC gimmick theme restaurant.,
762,,"A cool bar with great food, and tons of excellent beer.",
763,,And even with it's Pub atmosphere they were great to my kids too!,
764,,Loved it!,
765,,The only thing more wonderful than the food (which is exceptional) is the service.,
766,,The only thing the waiters don't do for you is wipe your chin when you leave.,
767,,Wonderful at holiday time.,
768,,Cozy romantic atomosphere with only around 15 tables at most.,
769,,Service was very prompt but slightly rushed.,
770,,"Food was very good, but not what I would consider out of this world.",
771,,Go here for a romantic dinner but not for an all out wow dining experience.,
772,,My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,
773,,Too bad the food wasn't of the same heritage.,
774,,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",
775,,A real dissapointment.,
776,,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,
777,,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,
778,,Priced at upper intermediate range.,
779,,I really liked this place.,
780,,"Everything I had was good, and I'm a eater.",
781,,It was pretty inexpensive too.,
782,,This place has the best Chinese style BBQ ribs in the city.,
783,,I also recommend the rice dishes or the different varieties of congee (rice porridge).,
784,,It's great to go for a quick lunch either alone or with a friend.,
785,,It's definately not a place to go if you want to impress someone.,
786,,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",
787,,Quick and friendly service.,
788,,This is one of the best comfort food places in the city.,
789,,It's somewhere you can eat and be happy.,
790,,"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.",
791,,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",
792,,"The food is wonderful, tasty and filling, and the service is professional and friendly.",
793,,"I can't wait for summer, when they serve outside on their gigantic patio.",
794,,Ahhh...,
795,,I recently tried Suan and I thought that it was great.,
796,,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,
797,,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,
798,,I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,
799,,"Great spot, whether looking for a couple of drinks or quiet dinner.",
800,,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,
801,,The food is great and they have a good selecion of wines at reasonable prices.,
802,,Have been several times and it never dissapoints.,
803,,"After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.",
804,,We were less than impressed.,
805,,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",
806,,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",
807,,Probably would not go again...,
808,,Best Reuben sandwich ever!,
809,,A classic!,
810,,Don't miss Bloom's on your next trip to Manhatten.,
811,,"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",
812,,Thanks Bloom's for a lovely trip.,
813,,This place is a great bargain.,
814,,Authentic Pakistani food.,
815,,People are always friendly.,
816,,Don't waste money on decor.,
817,,"Just straight up cheap, good food.",
818,,Faan is sooo good.,
819,,The best pad thai i've ever had.,
820,,The design and atmosphere is just as good.,
821,,bottles of wine are cheap and good.,
822,,What more could you want?,
823,,The food was actually aweful.,
824,,I'm not picky - but it was actually gross.,
825,,"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",
826,,"Nice atmosphere, the service was very pleasant and the desert was good.",
827,,Wouldn't recomend it for dinner!,
828,,This is the perfect date spot for Williamsburg couples.,
829,,The jukebox plays everything from Italian Opera to The Strokes.,
830,,"The food is amazing, rich pastas and fresh doughy pizza.",
831,,"Best of all is the warm vibe, the owner is super friendly and service is fast.",
832,,"If only they delivered, they'd make a mint!",
833,,go here for the drinks!,
834,,esp. during happy hour!,
835,,enough said!,
836,,the drinks are amazing and half off till 8pm.,
837,,"Ask for Usha, the nicest bartender in manhattan.",
838,,My fav was the sassy lassi...,
839,,This is an amazing place to try some roti rolls.,
840,,I really recommend the very simple Unda (Egg) rolls.,
841,,"Delicate spices, onions, eggs and a kick-ass roti.",
842,,Amazing!,
843,,"Toons has recently been redone, so it's now a very attractive space.",
844,,The food's as good as ever.,
845,,"In an area sadly lacking in decent Thai food, this is one of the best spots.",
846,,Best drumsticks over rice and sour spicy soup in town!,
847,,Beef noodle soup is good as well.,
848,,The service is good and the resturant is clean.,
849,,Best Taiwanese food in NY!,
850,,"Excellent dumplings served amid clean, chic decor.",
851,,"I got the $10 10-piece dim sum combo, every bite of which was great.",
852,,But $1 for each small piece???,
853,,Not worth it.,
854,,I won't go back unless someone else is footing the bill.,
855,,I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,
856,,The decor is very simple but comfortable.,
857,,The food was delicious but do not come here on a empty stomach.,
858,,The portions are small but being that the food was so good makes up for that.,
859,,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,
860,,The staff there is very attentive and down to earth.,
861,,I loved it and would go again.,
862,,Just moved to the neighborhood and we've been trying all the West Village Sushi restaurants.,
863,,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",
864,,Price and quality of fish alone will keep us from making a return visit.,
865,,Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing.,
866,,No thanks!!!,
867,,"This place, which is only a few months old, is perhaps Queens' biggest secret!",
868,,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",
869,,We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,
870,,We were then shooed inside.,
871,,"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",
872,,"We left, never to return.",
873,,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",
874,,I have never before eaten 40 pieces of relatively good nigiri.,
875,,Stuffing yourself with Japanese food is a rare thing.,
876,,You can do it here.,
877,,$20 for all you can eat sushi cannot be beaten.,
878,,"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",
879,,"The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.",
880,,"Most of the servers are very attentive, friendly and quite attractive.",
881,,"The atmosphere was mostly of an older crowd, but there were a few groups of mid 20's/30 year olds also.",
882,,"The vibe is very relaxed and cozy, service was great and the food was excellent!",
883,,Me and my girls will definitely go back.,
884,,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,
885,,I would highly recommand requesting a table by the window.,
886,,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,
887,,"I've eaten at Pizza Gruppo a few times, but more often I order delivery.",
888,,The food is great.,
889,,Personal pans are the perfect size for those hungry nights.,
890,,I heartily recommend.,
891,,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,
892,,Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips.,
893,,"Hey, I think $2+ for a 5 block walk ain't bad.",
894,,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",
895,,The pizza was pretty good and huge.,
896,,The price very reasonable.,
897,,We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.,
898,,We got most of it back at home with us.,
899,,I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.,
900,,"The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol",
901,,"No, really.",
902,,I have eaten a lot of pizza here.,
903,,"La Rosa waltzes in, and I think they are doing it the best.",
904,,"Interesting selection, good wines, service fine, fun decor.",
905,,I have been twice to this restaurant.,
906,,I love it.,
907,,I plan on stopping by next week as well.,
908,,"I found it on a cold night, the perfect spot to warm up.",
909,,I recieved prompt service with a smile.,
910,,"To me it exemplifies Soho, cute, artsy, interesting.",
911,,Definately check it out!!!,
912,,This place blew me away...by far my new favorite restaurant on the uppereast side.,
913,,The wine list is extensive and impressive.,
914,,LOVE the atmosphere - felt like I was in Paris.,
915,,The mussels were fantastic and so was the dessert...definitely going to be back very soon.,
916,,I just read Mocaramel's review and felt compelled to respond.,
917,,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,
918,,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",
919,,"I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!",
920,,I lOVE THIS PLACE!,
921,,Keep up the good work guys!,
922,,My girlfiends and I ate at O.G. again last night.,
923,,I have to say I have never had a disapointing meal here.,
924,,We could have made a meal of the yummy dumplings from the dumpling menu.,
925,,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",
926,,We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,
927,,Love Al Di La,
928,,I recommend this place to everyone.,
929,,Great food.,
930,,One of my favorite places in Brooklyn.,
931,,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",
932,,Tasty Dog!,
933,,"An awesome organic dog, and a conscious eco friendly establishment.",
934,,One of the best hot dogs I have ever eaten.,
935,,Can't wait to go back.,
936,,They all know you.,
937,,Good food.,
938,,Good drink.,
939,,How do you rate home?,
940,,The Cypriot restaurant has a lot going for it.,
941,,But the best pork souvlaki I ever had is the main thing.,
942,,Trust me.,
943,,Run don't walk.,
944,,Super YUMMY Pizza!,
945,,I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.,
946,,"I LOOOVE their eggplant pizza, as well as their pastas!",
947,,"We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!",
948,,"We had fun eating in there, we were there like around 3 a.m. in the morning!",
949,,"Will comeback for sure, wish they have it here in LA..",
950,,"Excellent food, although the interior could use some help.",
951,,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",
952,,"I paid just about $60 for a good meal, though :)",
953,,Great sake!,
954,,Best. Sushi. Ever.,
955,,This place has ruined me for neighborhood sushi.,
956,,"Creative, consistent, fresh.",
957,,"Excellent sashimi, and the millennium roll is beyond delicious.",
958,,Not cheap but very yummy.,
959,,Love it.,
960,,"Very, very nice",
961,,"The place is a bit hidden away, but once you get there, it's all worth it.",
962,,not only is the food,
963,,Loved It,
964,,My wife and I went to Water's Edge for a romantic dinner.,
965,,We had a very nice time.,
966,,"The waiter was attentive, the food was delicious and the views of the city were great.",
967,,I'd definitely go back again.,
968,,Great place to relax and enjoy your dinner,
969,,There is something about their atmosphere that makes me come back nearly every week.,
970,,"Place is open till late, no dress code.",
971,,Good food: my favorite is the seafood spaghetti.,
972,,Highly recommended!,
973,,Excellent food for great prices,
974,,My husband and I have been sold on this from the first visit.,
975,,The wait staff is very courteous and accomodating.,
976,,"The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.",
977,,There are no negatives to speak of.,
978,,the bestt!,
979,,my favorite place lol,
980,,i love their chicken pasta cant remember the name but is sooo good,
981,,its alright,
982,,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",
983,,"lobster was good, nothing spectacular.",
984,,"its just a fun place to go, not a five star restaraunt.",
985,,Way below average,
986,,I think the pizza is so overrated and was under cooked.,
987,,Had no flavor and the staff is rude and not attentive.,
988,,Would NEVER go back,
989,,I love this place,
990,,I wasn't here for the pizza so I can't comment on that yet but what I had was very good.,
991,,The service was quick and friendly.,
992,,Everyone was smiling so that made me feel welcome.,
993,,I thought the restaurant was nice and clean.,
994,,I ordered the vitello alla marsala and I was pretty impressed.,
995,,The veal and the mushrooms were cooked perfectly.,
996,,The potato balls were not dry at all... in fact it was buttery.,
997,,The only downside... they only take cash which is OK if you know about it ahead of time.,
998,,I'll be back for sure.,
999,,WORST PLACE ON SMITH STREET IN BROOKLYN,
1000,,"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",
1001,,I would never recommend this place to anybody even for a casual dinner.,
1002,,awesome,
1003,,the food is always fresh ...,
1004,,"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",
1005,,"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",
1006,,I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,
1007,,"Red Dragon Roll - my favorite thing to eat, of any food group - hands down",
1008,,Just go to Yamato and order the Red Dragon Roll.,
1009,,"If you don't like it, I don't know what to tell you.",
1010,,The Seafood Dynamite is also otherworldly.,
1011,,I'm not even going to bother to describe it; it speaks for itself.,
1012,,Great Indian Food!,
1013,,This place was reccomended to me by a friend.,
1014,,When I got there the place was packed but they made sure to seat me quickly.,
1015,,"The food was good, the place was clean and affordable.",
1016,,I noticed alot of indian people eatting there which is a great sign for an indian place!,
1017,,"This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",
1018,,The staff is very good.,
1019,,Love their drink menu.,
1020,,I highly recommend this beautiful place.,
1021,,Nice for one time special occasion.,
1022,,Went for Mom's birthday brunch/lunch.,
1023,,They honored reservation on Sunday afternoon very well.,
1024,,Be aware.,
1025,,We were offered water for the table but were not told the Voss bottles of water were $8 a piece.,
1026,,Food was OK.,
1027,,Nice view of river and NYC.,
1028,,I come here enjoy very much with husband.,
1029,,Remind me of home.,
1030,,Great survice,
1031,,Raymond the bartender rocks!,
1032,,Pacifico is a great place to casually hang out.,
1033,,"The drinks are great, especially when made by Raymond.",
1034,,The omlette for brunch is great...,
1035,,"the spinach is fresh, definately not frozen...",
1036,,"quacamole at pacifico is yummy, as are the wings with chimmichuri.",
1037,,A weakness is the chicken in the salads.,
1038,,"It's just average, just shredded, no seasoning on it.",
1039,,"Also, I personally wasn't a fan of the portobello and asparagus mole.",
1040,,"Overall, decent food at a good price, with friendly people.",
1041,,Best Indian Restaurant in the City,
1042,,Decor needs to be upgraded but the food is amazing!,
