,aspect,document,sentiment
634,,It's even easy to hook up to other wireless networks.,
635,,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,
636,,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,
637,,"This is going to be random and unorganized, but here are my thoughts on the laptop:So far so good after a month.",
638,,"It took some getting used to on the Widows 8.1, after being an XP user for many years.",
639,,Everything seems to be running smoothly.,
640,,Only downfall is the preloaded McAfee and other software.,
641,,"They are fine while the free subscription is going, but a pain when they start asking you to spend money every time you login.",
642,,"Device is light weight, quiet during operation and produces little to no heat.",
643,,It has a quick start up and shut down time.,
644,,The display is good quality.,
645,,Just wish there were more USB ports.,
646,,It's so damn good I bought 2 :D,
647,,"If you're the type of person that just likes to browse the Internet and enjoy media and do light work with Microsoft office, this is the laptop for you.",
648,,Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.,
649,,It's extremely light weight and slim because of the lack of an optical drive (who uses those anymore anyways) so it easily fits into any college students bag.,
650,,I would recommend this to anyone who doesn't need much out of a computer.,
651,,Bought a spare one for college and one for my mom :D,
652,,Happy shopping guys,
653,,This is a great bargain.,
654,,"Yes, it's running and old type processor so, hey, don't even try gaming on it.",
655,,"But, if you are just an average user, it works really great.",
656,,"The screen is good, the whole things is very light and doesn't run hot.",
657,,"I'm very happy with it, typing on it right now and it is fast enough for that!",
658,,I like everything about this laptop.,
659,,It has no way of connecting to the internet save wifi but that's all I use anyway!,
660,,I put that free app on for word processing and it works like a charm.,
661,,"I plugged it into my existing printers and it just worked, no fuss no muss.",
662,,It immediately recognized the printer and was ready to go.,
663,,Excellent buy.,
664,,Pretty good laptop.,
665,,Good for basic stuff.,
666,,Don't try to use to play any pc games or anything.,
667,,Just for simple web browsing and media streaming.,
668,,Pretty premium feel for the low price.,
669,,"i'm very happy,this laptop is beatifull, is'nt slow at all.",
670,,"but it doesn't have a cd unit, anyway the other thing is that the laptop does not have an ethernet port for cable connecting.",
671,,just wifi....,
672,,"the screen is big, and everything was as described",
673,,"I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.",
674,,"The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.",
675,,"One of the very few laptops still available with Win 7 Pro, multiple USB ports, and a DVD read/write drive.",
676,,Only drawback is no LED to show when the hard drive is being accessed.,
677,,"Not a necessity, but something I've come to expect.",
678,,Does what I need it to do and the price was right!,
679,,the computer is very wonderful.,
680,,was not aware it did not have a disk drive when i bought it or i would not of purchased it.,
681,,it does have a habit of restarting itself when you try to do the log in pw. but over all. im very satisfied.,
682,,its very fast and very light.,
683,,great product.,
684,,i am giviing it four stars instead of five because of no disk drive and the crashing,
685,,"The machine is easy to use, has the power it needs for personal use and some light professional work.",
686,,"It could be lighter, but couldn't everything.",
687,,The battery seems adequate for most uses ~ 4.5 hour use/charge.,
688,,Screen is clear and bright.,
689,,Glad it has the DVD drive.,
690,,Perfectly adequate.,
691,,"I purchased a  Dell Inspiron I3531-1200BK and so far I love it, this model has a true life monitor, which is worth the extra bucks.",
692,,If you're looking for a basic PC this is the way to go.,
693,,The hinges on this PC are nice and tight and well made like the rest of the PC.,
694,,I was surprised  at  the overall quality and the price,
695,,Expensive but worth it.,
696,,The display has a great resolution but have difficulty always seeing the small print.,
697,,Haven't quite figured out how to make the font size larger overall.,
698,,I'll keep trying however.,
699,,Great laptop for the price.,
700,,It was nearly impossible to find a laptop that had A) a side keyboard.,
701,,I do a lot of 10-key so I can't be pecking around at the top looking for numbers,
702,,B) a DVD/CD player.,
703,,I have a lot of antiquated programs that I use that require a download,
704,,C) a large hard drive instead of using the Cloud,
705,,D) was under $300 with shipping.,
706,,The only con is Windows effin 8.,
707,,Still giving it a 5 star rating because it is fast and a nice sized screen.,
708,,Great for web design and general work.,
709,,Not bad for the price.,
710,,I needed an inexpensive laptop to do basic office work on that was lightweight and this fits the bill just fine.,
711,,"Performance wise, it's a bit slow, but that's to be expected from a Celeron-class processor.",
712,,"I'm also not a fan of Windows 8, but fortunately I can install whatever I want on the laptop without issue.",
713,,This laptop is nice.,
714,,"It has a decent feel to it, sharp display and is fast enough.",
715,,The biggest problem I have is the right side and top of the touchpad is unresponsive.,
716,,So frustrating!!,
717,,"I have updated the drivers and tweeked every feature available, but nothing has helped.",
718,,"Also, the touchpad is almost 'sticky', which kind of defeats the purpose of a touchpad.",
719,,"I would love to keep this laptop, but will be sending it back and looking for a different brand.",
720,,No Lenovo for me.,
721,,Initially I liked the product so much.,
722,,Although it was slow but I felt it was ok for the price you have bought it.,
723,,But now I am having battery problems.,
724,,Laptop automatically shuts down when battery life reaches 30%.,
725,,I bought this laptop in November 2013.,
726,,I am not satisfied with the product.,
727,,It's an amazing laptop.,
728,,Most of the things about the laptop is awesome except the touchpad.,
729,,The laptop is fast.,
730,,The Windows 8.1 used to boot in just 2s and that was freaking awesome.,
731,,Now I have dual booted my laptop to Windows 8.1 and Ubuntu 14.04 and it's not got too slow either.,
732,,I am loving it completely.,
733,,It does make a little noise but that's alright as it's not too much.,
734,,It doesn't get heated up much even after continuous usage.,
735,,"But the  touchpad is soooooooooo big that whenever I am typing, my palm touches some part of it and then the cursor goes somewhere else and it's really annoying.",
736,,"I prefer typing without having to see the keyboard but due the large touchpad, i always have to type cautiously as my hand might take me somewhere else.",
737,,HP please fix it.,
738,,A smaller touchpad would make life easier for Computer Science students or IT people much more easier.,
739,,"No laptop is perfect, but sometimes you just find a computer that works for you.",
740,,This laptop does everything I need it to very well.,
741,,I bought this laptop so that the entire family had a computer in the living room;,
742,,the two of us use it regularly.,
743,,I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,
744,,The best thing about this laptop is the price along with some of the newer features.,
745,,The screen is bright and the keyboard is nice;,
746,,I find myself using the 10-key more than I thought I would.,
747,,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,
748,,For those that care about noise this thing doesn't really make any;,
749,,the i3 processor doesn't seem to run hot and the fan rarely turns on.,
750,,I took off a star because the machine has a lot of junk software on it.,
751,,I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,
752,,Once I removed all the software the laptop loads in 15-20 seconds.,
753,,This is not a serious gaming laptop or a serious media machine;,
754,,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,
755,,Overall I am very satisfied with the purchase.,
756,,I looked around and based off my price/features comparison from a brand I trusted I landed here.,
757,,Unable to boot up this brand new laptop.,
758,,Spent 2 hours on phone with HP Technical Support.,
759,,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",
760,,They are asking me to ship the unit back to fix it at their site.,
761,,I am going to go back and return at Store I bought from!,
762,,"At first when I got this product, I loved it.",
763,,"The computer itself was fast, ran smoothly, and had no problems.",
764,,"Then, within 5 months, the charger crapped out on me.",
765,,"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",
766,,"2 months later, the battery went.",
767,,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",
768,,"THEN, one month after the warranty expired, the replacement charger went.",
769,,I had to pay $100 for a universal charger for this cheap $300 laptop.,
770,,Not worth it one bit.,
771,,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.",
772,,"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",
773,,"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",
774,,And it is impossible to get them back in.,
775,,Me and my boyfriend bought the Gateway NV78 in nov of 09.,
776,,Bought with a credit card.,
777,,Probbly the worst decision we ever made!,
778,,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,
779,,the place we bought it from said that after they send it out to gateway 4 times they would give us a new one.,
780,,the last time we took it to get fixed the guy said that most likely it is a reppative problem and will keep happeneing so hopefully we can get a new one very soon!,
781,,pretty much everything else about the computer is good it just stops working out of no were.,
782,,i love the size of the computer since i play games on it.,
783,,i also love having the extra calculator number set up on the keyboard which most laptops do not have.,
784,,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,
785,,So i would not reccomend anyone buying this computer,
786,,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,
787,,The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,
788,,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,
789,,They were totally unconcerned that the computer was not correctly repaired in the first place.,
790,,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,
791,,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,
792,,Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,
793,,By Air sounds more like by truck to Me.,
794,,And Toshiba is totally unconcerned.,
795,,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,
796,,We don't Mind and You don't Matter.,
797,,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,
798,,When it come time for warranty service to Toshiba you don't matter.,
799,,"I purchased my Macbook Pro Retina from my school since I had a student discount, but I would gladly purchase it from Amazon for full price again if I had too.",
800,,"The Retina is great, its amazingly fast when it boots up because of the SSD storage and the clarity of the screen is amazing as well.",
801,,But if you buy this i would highly recommend that you buy a case and screen protector for this machine as they are known to be quite fragile.,
802,,"Performs as advertised, if not better!",
803,,Super light weight (I never cared either way about weight until now).,
804,,Feels like solid state.,
805,,WONDERFUL machine;,
806,,glad I bought it.,
807,,"Tiny, forgivable drawback - no ethernet cable outlet.",
808,,But that's not a deal-breaker.,
809,,SUPER LAPTOP!!,
810,,Will probably get another one for my wife!,
811,,I love this laptop to the moon.,
812,,"My favorite colors black and red, the matte material and the red backlight of the keyboard.",
813,,The sound is great and it's fast.,
814,,I had a number of updates to do and customization.,
815,,"The laptop is beautiful, not extremely light but thin enough and wide screen with a full keyboard.",
816,,The touch screen response is fast and it picks up bluetooth and wifi FAST.,
817,,"Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.",
818,,It's exactly like the picture and I AM SATISFIED.,
819,,By far the best laptop I've ever had.,
820,,"Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.",
821,,"My only concern is that since the battery is not external, I will not be able to change it out once it starts not to hold a good charge over a length of time.",
822,,I wonder if thats just Apples way of saying its time to get the newest and greatest laptop 3-4 years from now lol.,
823,,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",
824,,Other than that its a great performing machine and well meets all my needs and more.,
825,,Great product by Apple with the new great looking design.,
826,,THis computer may be small but it is one heck of a power horse.,
827,,You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,
828,,for being so small it is amazing that it is as fast as it is.,
829,,when i first got it i thought the size of it was a joke.,
830,,but after i got used to it i love it.,
831,,the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,
832,,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",
833,,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,
834,,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,
835,,I shopped around before buying.,
836,,I wasn't really sure I wanted to spend that kind of money!,
837,,It Was a great deal after all.,
838,,I LOVE it!,
839,,I should have bought one a long time ago.,
840,,Not enough time for me to give it 5 stars!,
841,,This laptop is amazing!,
842,,Windows 8.1 has its pros and cons.,
843,,The keyboard is backlit but you have to press the F5 key to turn it on.,
844,,I was nervous at first that I purchased a lemon but the user manual explains how to turn on the keyboard  backlight.,
845,,Of course this will decrease your battery life.,
846,,The sound is very nice and crisp.,
847,,"Also, I have no regrets about going with the 8GB RAM because its super fast.",
848,,I'm still exploring the various features but overall I am satisfied with my purchase.,
849,,This computer I used daily nice compact design.,
850,,Excellent speed for processing data.,
851,,And if you are a game player it works with World Of Warcraft wonderfully.,
852,,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,
853,,All in all great item highly recommend it.,
854,,It has some bloat wear that I wish weren't there.,
855,,It works fine for a PC in this price range.,
856,,I bought it for my parents (late 60s) and they love it - particularly the keyboard and screen.,
857,,Too often I would find it not being able to stay connected to the internet.,
858,,I was unable to download iTunes to it.,
859,,Dell support was awful to deal with.,
860,,And the settings are simply annoying.,
861,,Just not for me.,
862,,It's ok.,
863,,I find that it often gets very slow and I have to restart more than usual.,
864,,"It's light and easy to use, though.",
865,,Great PC.,
866,,"The i7 is incredibly fast, the RAM makes it proper for several games (not on maximum quality).",
867,,Great sound quality too.,
868,,"I've owned this labtop for less then two months, already the mouse button has broke.",
869,,"Still under warrenty so called Toshiba, no help at all.",
870,,I'm stuck w/ a broken computer.,
871,,"Will not buy another Toshiba, this is my second, not happy w/ either.",
872,,Well worth the extra cost.,
873,,"As a long time PC user, I nearly done using PCs.",
874,,Size is perfect and display is beautiful!,
875,,Get Speck cover at the same time!,
876,,"The computer is as expected, and worth the money.",
877,,The 8.1 windows is a major disappointment.,
878,,Operating a non touch screen on this system is a royal pain!,
879,,"Great laptop for school, easy to use for beginners in the household.",
880,,Keyboard is great but primary and secondary control buttons could be more durable.,
881,,Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,
882,,"Great, quick laptop for the money.",
883,,Right size and weight for portability.,
884,,Battery life needs more life.,
885,,Battery is not upgradable to a longer life battery.,
886,,I thought the price was great for the specs.,
887,,"But after using it a couple of weeks, the overall operation is poor.",
888,,I hate the display screen and I have done everything I could do the change it.,
889,,The keyboard is too slick.,
890,,"I really don't like it, but I am stuck.",
891,,Overall for the money this is a good deal.,
892,,There is no number pad to the right of the keyboard which is a bummer.,
893,,The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,
894,,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",
895,,Was not happy with one of the programs on it.,
896,,"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",
897,,"Also, the extended warranty was a problem.",
898,,The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,
899,,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",
900,,lots of preloaded software.,
901,,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",
902,,"tosiba has a good reputation, my llast computer was an acer.",
903,,this is starting off good.,
904,,The glare of the glossy-retina display is unbearable.,
905,,Do not buy a mac until this issue is resolved.,
906,,I don't like it at all...,
907,,I can't put a protector to make presentation...,
908,,This is what I was looking for.,
909,,It has a wide screen and it's easy to use.,
910,,"At my age, I need this kind of laptop.",
911,,"Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.",
912,,Has met or exceeded my needs for a compact travel device.,
913,,Purchased as a gift for a friend.,
914,,The service I received from Toshiba went above and beyond the call of duty.,
915,,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",
916,,It is extremely portable and easily connects to WIFI at the library and elsewhere.,
917,,Just what the doctor ordered.,
918,,I have been very pleased with the performance of this laptop.,
919,,"The battery life seems to be very good, and have had no issues with it.",
920,,Great product.,
921,,CRASHED only 2 days from getting it!!!!,
922,,Says it is failing hard drive.,
923,,Going to see what lenovo does.,
924,,I should have bought something better.,
925,,"If it had a 4,5 star option, that is what I would give.",
926,,"The build is perfect, the screen fantastic, but I do have a bit of a problem with the fact that I have to buy adaptors for nearly everything, from vga cables to ethernet cables, so, almost perfect...",
927,,Awesome laptop!,
928,,Standard issue for company road-warriors where I work.,
929,,"Bootup time is amazing, battery life is decent and it has a great slim form factor.",
930,,I bought this for my 9 year old for a birthday gift.,
931,,It's perfect!,
932,,He uses to play mine craft and School work.,
933,,It's great for what he uses it for.,
934,,This is a nicely sized laptop with lots of processing power and long battery life.,
935,,Love it so far.,
936,,This mac is great!,
937,,"lightweight, long battery life, excellent transition from PC;",
938,,"I'm very happy with my Acer, it does just for what I need it.",
939,,Even the sound is fantastic,
940,,not durable .,
941,,"slow processor, just not it",
942,,I received this laptop as a gift and let me just tell you that its the worst.,
943,,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,
944,,This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,
945,,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,
946,,the whole experiece is horrible so save up and buy a better laptop.,
947,,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,
948,,"The computer is so slow, even after paying staples the extra money to speed it up.",
949,,They said it was a computer error on this type of computer.,
950,,"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",
951,,"When the computer has been on for several minutes, it will occasionaly just go off by itself.",
952,,"Also, the battery does not last very long at all.",
953,,I would recommend not buying this product.,
954,,I have had no luck with staples or HP to resolve this problem.,
955,,I am stuck with a laptop that I cannot do very much with.,
956,,"Also, I have had alot of trouble with the keys sticking and will not type correctly.",
957,,"Also, I have had alot of trouble with the shift key to go to other lines.",
958,,"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",
959,,Sometimes the screen even goes black on this computer.,
960,,Will probably never buy a HP again.,
961,,bought notebook 07/2009.,
962,,in 5 months the connect quality got worse and worse.,
963,,1st time they got it working the next 5 month they had me send it in.,
964,,returned it.,
965,,5 months dead again.,
966,,They say sorry out of warranty.,
967,,Summary: They played games with me for the warranty period.,
968,,Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.,
969,,They had me send in the machine last April returned it to me in May with no documentation on what was done it anything.,
970,,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,
971,,So buyer beware when buying Toshiba,
972,,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,
973,,Apparently they are defective since they are not securely attached.,
974,,I can barely use any usb devices because they will not stay connected properly.,
975,,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,
976,,I think I might rather suffer for something that is simple to fix in my opinion.,
977,,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",
978,,This laptop is very large and barely fits in any carrying cases.,
979,,Peformance is good for the price.,
980,,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",
981,,I like the laptop overall.,
982,,The only thing i can say is that the touch pad doesnt work like it should all the time.,
983,,Sometimes you really have to tap the pad to get it to work,
984,,"It is so simple to use, I use it more than my desktop.",
985,,"It is well worth the money it cost, Very good investment.",
986,,I took 3-4 years researching brands and prices of laptops.,
987,,I finally decided on this laptop because it was the right price for what I need it.,
988,,"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",
989,,So I'm disappointed in that because communicating with my relatives out of the area is a priority.,
990,,"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",
991,,"I don't have that additional money right now, and therefore wouldn't have purchased it at this time.",
992,,Those things are very important - vital even!,
993,,So think about factoring those things in when you purchase.,
994,,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,
995,,I will have to purchase Spy ware or Nortell for privacy protection.,
996,,Thank you.,
997,,Overall this laptop is great.,
998,,"It has plenty of memory, lots of hard drive, and great graphics.",
999,,It runs very quiet too which is a plus.,
1000,,The only bad thing about it is they give you the worst batteries possible.,
1001,,They only stay charged a little over an hour.,
1002,,"Laptops are usually used on the go, so why not give you a better battery?",
1003,,So far so good with this laptop.,
1004,,"Fan vents to the side, so no cooling pad needed, great feature!",
1005,,Screen is crystal clear and the system is very responsive.,
1006,,Memory is upgradable.,
1007,,The only thing I would change about it is the mouse keys.,
1008,,They click.,
1009,,"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",
1010,,I have owned many computers and laptops.,
1011,,I HATE this one.,
1012,,Vista is a nightmare.,
1013,,No tutorials on the display.,
1014,,The book is useless.,
1015,,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,
1016,,this is one of the reasons I purchased it.,
1017,,Thinking about returning it,
1018,,"This laptop leaves alot to be desired, I have had it only 5 months and have had to send it away to be repaired twice...",
1019,,"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",
1020,,If you shop around in the current market you can find a much better deal.,
1021,,"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",
1022,,It's A MAC!!,
1023,,"I fine Apple MC373LL/A 2.66GHz 15"" Macboook Pro Notebook meets all my needs for a laptop computer when on the go.",
1024,,I like to use it at the race track to handiecap the horse races.,
1025,,It's face and depanable.,
1026,,As a graphic arts a retired instructor I still love to play with the graphic with photos and clip art .....,
1027,,it's just a great toy to have around.,
1028,,I just bought this laptop 3 days ago.,
1029,,The right speaker did not work.,
1030,,I took it back to the store and exchanged it for another one.,
1031,,"Again, the same problem, the right speaker did not work.",
1032,,I returned the 2nd laptop for a full refund.,
1033,,the mouse pad and buttons are the worst i've ever seen.,
1034,,sometimes you will be moving your finger and the pointer will not even move.,
1035,,the mouse buttons are hard to push.,
1036,,i cant believe HP put this out.,
1037,,do not buy you will be disappointed.,
1038,,i'm returning mine,
1039,,I love my new ThinkPad!,
1040,,"It gives me everything I need from a computer and with the long lasting battery, it also gives me mobility.",
1041,,I can use it anywhere.,
1042,,It was a great purchase.,
1043,,Great laptop.,
1044,,Fast.,
1045,,Works very well.,
1046,,Would purchase again.,
1047,,Just what I expected.,
1048,,I don't have any complains about this computer,
1049,,One of the best thing i have bought in years.,
1050,,"Great PC, light and powerful.",
1051,,Is just amazing.=),
1052,,not a good computer at all.,
1053,,We returned two days later.,
1054,,They were excellent to handle our return and post our refund back into our account the next day.,
1055,,Thank you!,
1056,,If your on a budget.... Save up longer.,
1057,,This laptop isn't worth a single cent.,
1058,,I couldn't even install linux on it.,
1059,,Windows runs very poorly.,
1060,,Just save your money and get something better.,
1061,,This laptop is a complete cheap junk.,
1062,,By just looking at it you will realize it's crap.,
1063,,It's not what you pay for.,
1064,,The case is made from cheap plastic.,
1065,,In the description it said there is Bluetooth but no there isn't.,
1066,,"I'm warning you, You're wasting your money on this",
1067,,Our Apple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook and has become such an integral part of completing our daily needs and social networking.,
1068,,"I do everything on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.",
1069,,"It pretty much does everything we could ever need, and looks great to boot.",
1070,,"Apple is always great about the aesthetics of things, they always come up with good looking products.",
1071,,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,
1072,,"So, if you're thinking of a laptop, I would heartily recommend theApple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook for all your needs!",
1073,,"It's great and we will always stick with Apple computers, we have been so happy with them.",
1074,,I never have had a good result with this computer.,
1075,,"I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",
1076,,"They told me it was my loss even though it was the computer, not  what I've done.",
1077,,"The hard drive crashed as well, and I had to buy a new  power cord.",
1078,,"They told me to reprogram the computer, and I didn't need  to do that, and I lost pictures of my oldests first 2 years of her  life.",
1079,,"I don't like this company nor the toshiba brand, and I'll never  buy another one because I've put more into it then it is worth.",
1080,,I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.,
1081,,Strengths:Well-shaped,
1082,,Weaknesses:A bad videocard!,
1083,,"Posted Nov 8, 2010 -",
1084,,Two weeks ago I bought this notebook.,
1085,,What can I say.,
1086,,The first programm I switched on was a game for my children.,
1087,,After 20-30 min the screen of the notebook switched off.,
1088,,"It was still working, but there was nothing on the screen.",
1089,,I was said it's videocard.,
1090,,Very disappointed!,
1091,,Didn't expect to repair it at once!,
1092,,Going to bring it to service today.,
1093,,Don't buy this model.,
1094,,A good value for the money.,
1095,,Quite pleased with it.,
1096,,Fast enough for my purposes.,
1097,,No bloatware from third party parasites to uninstall.,
1098,,Excellent keyboard and crisp screen.,
1099,,Battery could be better but it has robust processor and plenty of RAM so that is a trade off I suppose.,
1100,,I'm glad to have it and it showed up in only a few days.,
1101,,No ethernet outlet,
1102,,Disc drive will not open or function,
1103,,Odd - unusual Dell Commands,
1104,,Would have exchanged instantly - but had to use as if for College immediately.,
1105,,Unimpressed.,
1106,,I've had my Lenovo for a little over a month now and it does everything i want it to do and more.,
1107,,i really have nothing negative to say about it.,
1108,,The keyboard is a little wonky with having to use the Function button to get the F-keys but with how infrequently i use those it is a non-issue.,
1109,,it is a great value for what you get.,
1110,,i can run somewhat modern games like Skyrim and Fallout New Vegas with no issues.,
1111,,I get giddy every time I use this thing.,
1112,,It is a thing of beauty and fast enough.,
1113,,What's fast enough?,
1114,,When you click and don't wait.,
1115,,"Waiting is horrible, and not waiting is the best thing on earth.",
1116,,"So yes, it is ridiculously fast.",
1117,,The battery will get you from LA to NY no problem.,
1118,,Been using Lenovo ThinkPad Edge laptops in our business for several years now and have no complaints about any of them.,
1119,,"They have held up well not just in our sales department, but also in our service department where they are exposed to dust, exhaust, grease, oil, and all manner of other non-computer-friendly substances.",
1120,,"GENERAL, a quality laptop.",
1121,,The Lenovo software that comes preinstalled may qualify as bloatware but is easily removed if you're not interested in it.,
1122,,I live in Jamaica and bought this online and my husband took it down for me.,
1123,,So far I do not have any trouble with it other than the picture quality is a bit poor.,
1124,,My son saw this laptop online and told be about it and i thought it was a good deal and bought it.,
1125,,I have had it over a month now and it works just fine.,
1126,,This laptop suits my needs: as i am currently studying online and just need a computer for that purpose.,
1127,,My daughter uses it for college too and it works great for both of us.,
1128,,"So i gave this 4 stars but only because of the poor picture quality, other than that it is a great buy!",
1129,,This laptop is absolutely horrible.,
1130,,I bought it simply for Excel on Windows for work since I have a Macbook Air and literally the thing freezes and lags opening Excel or my web browser.,
1131,,There is a chance mine is defective but regardless I'm not going to try another one this is a terrible product.,
1132,,I'd much rather bite the bullet and spend a little more for a product that actually meets minimum computing expectations for 2014.,
1133,,I appreciate the effort to hit affordable pricing Dell but just not worth it.,
1134,,Great labtop..,
1135,,not as fast as I would have liked it to be but everything else is great!,
1136,,I've only had this computer for a few days an I already don't like it.,
1137,,The battery life is a joke and it's causing other problems.,
1138,,I will be returning it.,
1139,,If people are writing bad reviews about this laptop then believe what they say.,
1140,,I absolutely love my Dell Inspiron!,
1141,,I use it for basic web browsing and word processing.,
1142,,I have also used it to watch YouTube and Hulu.,
1143,,"It powers on/off very quickly, and it loads up automatically.",
1144,,"The mouse click is a bit loud, but it really isn't a problem.",
1145,,"For $250, I highly recommend!!",
1146,,GREAT value laptop!,
1147,,I can't believe this was just $250,
1148,,I am using primarily for Office and Outlook while I'm on the road.,
1149,,"Speed is great, easy to set up and get going.",
1150,,Very pleased so far.,
1151,,"This things run smoothly for its price, and the battery life seems to go on forever.",
1152,,I got this laptop as an upgrade / replacement for my old Lenovo notebook.,
1153,,"I didn't have that much money, so I thought I'd give the Inspiron a try.",
1154,,I wasn't disappointed in its performance.,
1155,,"All in all, it's well worth its price tag.",
1156,,Overall good but processing power isn't very good.,
1157,,"W7 Pro with W8 pro upgrade is nice, but it frequently freezes for a few seconds here and there.",
1158,,I replaced stock drive with WD Black 7K drive and is still quite slow.,
1159,,Battery doesn't last long web browsing (2.5 hours maybe).,
1160,,This laptop is amazing!,
